Date,Open,High,Low,Close,Volume
11/19/2024,"165.27","167.10","163.81","166.57","5,245,994"
11/18/2024,"165.62","166.74","164.80","166.28","8,341,413"
11/15/2024,"169.63","169.63","164.72","164.99","11,265,400"
11/14/2024,"170.00","171.62","168.59","169.63","8,442,546"
11/13/2024,"171.67","172.64","169.65","170.35","8,483,499"
11/12/2024,"176.01","176.63","171.03","171.09","10,556,980"
11/11/2024,"178.57","178.57","172.70","174.43","20,760,250"
11/08/2024,"201.16","201.89","199.48","199.50","4,596,949"
11/07/2024,"201.95","202.32","199.22","200.51","4,520,190"
11/06/2024,"205.79","206.15","200.85","201.20","7,194,757"
11/05/2024,"200.49","202.42","198.35","201.68","5,109,348"
11/04/2024,"203.79","204.24","200.22","200.47","3,531,804"
11/01/2024,"204.37","204.73","202.32","203.55","4,493,880"
10/31/2024,"201.97","207.32","201.42","203.87","8,829,278"
10/30/2024,"191.62","202.35","188.55","201.50","10,396,360"
10/29/2024,"190.49","191.16","188.52","189.45","6,131,530"
10/28/2024,"188.09","190.14","187.52","189.68","5,383,733"
10/25/2024,"189.68","189.88","187.17","187.85","4,017,525"
10/24/2024,"188.43","190.47","188.17","189.65","6,742,024"
10/23/2024,"188.70","189.27","187.50","187.88","4,267,078"
10/22/2024,"186.32","189.10","186.23","188.76","4,210,359"
10/21/2024,"188.71","189.38","185.89","186.54","4,496,592"
10/18/2024,"188.97","189.69","188.16","188.86","5,607,902"
10/17/2024,"190.54","191.62","188.46","188.57","4,419,002"
10/16/2024,"190.45","191.04","188.73","190.46","5,575,983"
10/15/2024,"194.73","196.25","191.22","191.86","6,553,712"
10/14/2024,"194.24","196.34","193.66","195.65","3,624,123"
10/11/2024,"195.00","195.24","193.58","194.19","2,973,025"
10/10/2024,"194.54","194.82","193.28","194.35","3,562,476"
10/09/2024,"192.85","194.89","191.95","194.75","4,479,107"
10/08/2024,"194.34","195.00","192.25","193.01","4,419,016"
10/07/2024,"194.42","195.09","192.84","193.61","5,033,832"
10/04/2024,"195.10","195.64","193.05","194.29","4,749,856"
10/03/2024,"196.87","197.05","194.74","195.45","3,453,796"
10/02/2024,"195.66","197.00","194.45","196.82","2,946,883"
10/01/2024,"197.65","198.97","196.42","196.96","3,924,607"
09/30/2024,"194.85","197.62","194.37","197.48","4,550,849"
09/27/2024,"192.60","196.13","190.27","194.79","4,892,025"
09/26/2024,"190.10","192.87","189.62","191.90","6,215,788"
09/25/2024,"194.00","194.57","190.96","191.26","5,589,494"
09/24/2024,"192.95","195.21","191.59","193.51","4,286,499"
09/23/2024,"193.70","194.30","192.20","193.83","3,177,996"
09/20/2024,"193.00","193.82","192.13","193.47","11,661,190"
09/19/2024,"193.43","194.16","191.96","193.62","3,929,288"
09/18/2024,"193.13","195.58","191.78","192.94","3,236,829"
09/17/2024,"194.80","196.08","191.82","193.45","3,534,110"
09/16/2024,"195.82","196.16","194.46","195.73","3,235,706"
09/13/2024,"193.86","194.59","191.81","194.21","2,718,268"
09/12/2024,"194.78","195.07","191.27","194.02","4,165,394"
09/11/2024,"197.68","197.68","193.42","194.59","4,909,292"
09/10/2024,"196.12","199.47","192.91","199.35","6,333,281"
09/09/2024,"194.97","196.61","193.94","196.42","3,606,983"
09/06/2024,"193.47","194.74","192.83","193.40","4,312,632"
09/05/2024,"196.96","197.13","192.16","192.86","5,902,786"
09/04/2024,"198.68","199.88","196.44","197.01","4,214,441"
09/03/2024,"196.14","199.95","196.10","197.69","4,872,430"
