Date,Open,High,Low,Close,Volume
11/15/2024,"138.14","140.32","137.03","140.19","12,120,100"
11/14/2024,"140.80","141.55","137.22","138.14","15,646,710"
11/13/2024,"145.58","145.58","139.10","139.97","21,249,600"
11/12/2024,"148.40","148.50","143.85","145.17","16,746,650"
11/11/2024,"152.00","152.50","148.07","148.96","12,799,080"
11/08/2024,"151.12","152.60","149.43","151.68","12,996,810"
11/07/2024,"148.80","152.80","148.03","150.98","14,709,240"
11/06/2024,"152.30","153.20","144.13","147.16","28,069,289"
11/05/2024,"157.47","157.66","150.65","151.00","23,126,641"
11/04/2024,"154.62","156.72","152.46","155.07","10,290,390"
11/01/2024,"152.78","156.00","151.23","154.59","18,894,510"
10/31/2024,"154.31","154.48","147.88","149.31","29,388,199"
10/30/2024,"152.51","156.91","152.51","154.29","50,738,359"
10/29/2024,"147.86","155.99","147.58","152.98","66,387,680"
10/28/2024,"153.50","155.20","150.61","150.69","20,992,480"
10/25/2024,"156.20","157.48","154.52","155.01","8,152,969"
10/24/2024,"152.61","155.89","151.98","155.20","9,774,355"
10/23/2024,"160.00","161.47","153.53","157.06","15,931,490"
10/22/2024,"160.50","160.66","158.37","159.88","7,380,826"
10/21/2024,"160.25","163.44","158.36","159.82","13,277,550"
10/18/2024,"155.84","156.37","153.90","155.00","6,030,173"
10/17/2024,"155.00","157.14","154.25","155.31","6,291,759"
10/16/2024,"151.91","154.99","151.34","154.90","8,356,210"
10/15/2024,"150.50","153.95","148.55","152.35","11,241,670"
10/14/2024,"148.00","150.09","146.02","148.99","9,736,998"
10/11/2024,"146.30","151.12","146.30","151.02","10,688,550"
10/10/2024,"149.07","149.11","146.26","146.62","11,275,840"
10/09/2024,"152.05","152.19","148.80","149.37","12,488,480"
10/08/2024,"155.99","156.70","154.14","154.65","5,336,289"
10/07/2024,"155.00","158.76","154.68","155.91","6,267,890"
10/04/2024,"152.26","155.00","150.85","155.00","6,680,591"
10/03/2024,"152.12","152.74","150.51","150.52","5,704,814"
10/02/2024,"153.77","154.85","152.84","152.89","4,357,023"
10/01/2024,"151.46","156.40","149.49","154.22","12,588,780"
09/30/2024,"154.79","155.30","151.24","152.04","10,925,180"
09/27/2024,"155.37","157.33","154.39","156.32","7,636,991"
09/26/2024,"153.94","157.33","152.66","154.58","11,414,380"
09/25/2024,"156.42","157.22","152.05","152.22","9,587,697"
09/24/2024,"155.80","155.90","153.69","155.81","7,414,902"
09/23/2024,"153.00","158.43","151.65","156.30","12,476,810"
09/20/2024,"154.01","154.64","152.60","153.29","13,919,400"
09/19/2024,"157.00","157.18","154.27","154.59","9,570,002"
09/18/2024,"157.00","158.45","154.80","155.11","7,714,430"
09/17/2024,"156.17","158.88","155.14","156.39","8,123,236"
09/16/2024,"156.25","157.76","154.02","155.55","9,955,158"
09/13/2024,"159.78","162.89","155.60","156.77","19,003,350"
09/12/2024,"159.42","163.50","159.06","162.77","4,756,367"
09/11/2024,"159.79","161.87","156.10","161.33","6,664,756"
09/10/2024,"162.61","163.90","157.93","160.07","6,367,077"
09/09/2024,"162.30","164.55","161.11","162.91","9,091,545"
09/06/2024,"162.50","162.85","156.70","157.62","7,328,641"
09/05/2024,"164.15","164.62","160.10","162.15","4,717,520"
09/04/2024,"160.28","166.70","160.28","163.22","7,316,302"
09/03/2024,"167.03","169.60","158.30","161.02","17,914,600"
08/30/2024,"173.14","174.36","171.49","173.74","4,146,190"
08/29/2024,"171.71","175.28","170.62","172.26","4,119,472"
08/28/2024,"172.30","174.25","170.15","170.71","4,550,273"
08/27/2024,"173.62","173.93","171.25","173.05","3,295,800"
08/26/2024,"173.00","174.92","172.30","173.48","4,034,303"
08/23/2024,"173.88","176.92","173.17","174.96","4,405,948"
08/22/2024,"173.00","175.21","172.30","172.76","2,788,031"
08/21/2024,"173.00","174.20","171.04","173.43","4,493,631"
08/20/2024,"176.49","177.50","170.04","172.10","9,549,138"
08/19/2024,"180.04","180.70","177.63","179.64","3,894,182"
08/16/2024,"176.30","180.51","176.30","179.99","6,731,504"
08/15/2024,"170.00","176.56","169.98","176.41","5,942,222"
08/14/2024,"167.89","169.75","167.33","168.50","3,852,650"
08/13/2024,"164.50","168.88","162.62","168.76","6,475,461"
08/12/2024,"167.73","168.05","163.52","164.13","4,715,584"
08/09/2024,"168.39","169.85","166.90","167.91","3,635,590"
08/08/2024,"164.23","169.35","164.00","168.87","6,063,808"
08/07/2024,"167.00","167.98","162.99","163.24","5,186,448"
08/06/2024,"168.89","169.19","163.39","165.04","5,817,257"
08/05/2024,"162.52","167.68","162.50","167.03","9,255,072"
08/02/2024,"175.22","175.46","167.25","169.95","11,742,810"
08/01/2024,"190.00","191.17","176.69","178.31","13,886,970"
07/31/2024,"189.88","196.95","183.86","190.60","15,416,950"
07/30/2024,"186.10","188.13","185.15","186.86","4,789,017"
07/29/2024,"186.70","187.08","183.83","185.43","3,608,584"
