Date,Open,High,Low,Close,Volume
10/16/2024,"387.40","394.60","386.93","393.62","1,551,797"
10/15/2024,"390.63","392.47","387.59","387.99","2,715,320"
10/14/2024,"393.39","396.29","386.87","393.95","3,006,132"
10/11/2024,"396.64","403.60","396.64","402.02","2,110,351"
10/10/2024,"395.18","396.96","390.50","396.64","1,331,845"
10/09/2024,"388.17","396.60","387.50","396.19","1,757,882"
10/08/2024,"394.26","395.00","384.85","387.96","2,438,847"
10/07/2024,"396.45","401.17","396.14","398.25","2,224,513"
10/04/2024,"396.72","397.46","391.85","397.09","1,675,430"
10/03/2024,"392.34","394.00","388.72","391.09","1,866,089"
10/02/2024,"391.98","395.66","388.64","394.05","1,768,062"
10/01/2024,"391.27","395.49","386.63","392.39","2,091,388"
09/30/2024,"389.38","392.76","386.82","391.12","2,251,585"
09/27/2024,"391.00","395.56","389.14","391.08","2,683,768"
09/26/2024,"390.01","397.22","386.20","390.96","3,906,800"
09/25/2024,"387.00","388.64","377.92","378.25","2,661,536"
09/24/2024,"380.00","389.43","379.50","385.93","4,024,264"
09/23/2024,"368.99","372.97","366.98","371.17","2,442,816"
09/20/2024,"370.40","371.45","365.84","368.82","5,440,526"
09/19/2024,"363.00","374.69","361.27","373.31","4,066,612"
09/18/2024,"355.00","361.63","352.32","355.12","1,990,660"
09/17/2024,"350.00","354.58","349.24","353.69","2,088,589"
09/16/2024,"348.35","351.46","344.29","347.96","1,648,247"
09/13/2024,"342.42","347.22","340.35","345.31","2,518,723"
09/12/2024,"335.28","341.04","333.68","339.58","1,747,566"
09/11/2024,"333.00","335.48","326.11","335.00","1,934,695"
09/10/2024,"335.11","335.75","329.39","334.16","1,869,324"
09/09/2024,"333.91","336.36","332.97","334.04","2,355,801"
09/06/2024,"334.20","338.62","328.12","329.36","2,676,623"
09/05/2024,"336.02","336.49","330.56","333.56","2,525,491"
09/04/2024,"338.59","340.85","335.29","336.75","2,782,497"
09/03/2024,"352.21","352.63","338.40","340.24","3,105,710"
08/30/2024,"352.59","356.24","349.83","356.10","2,974,052"
08/29/2024,"351.22","356.46","347.49","351.64","1,664,658"
08/28/2024,"350.59","354.43","345.84","348.20","1,514,474"
08/27/2024,"350.35","351.72","347.10","351.12","1,211,040"
08/26/2024,"349.81","354.41","348.94","351.16","1,718,059"
