Date,Price,MeanLine,Forecasted,Ticker
10/2/2023,87.65,85.6474,,TSM
10/3/2023,85.41,85.9227,,
10/4/2023,86.67,86.198,,
10/5/2023,87.03,86.4733,,
10/6/2023,89.29,86.7486,,
10/9/2023,88.99,87.5745,,
10/10/2023,90.61,87.8498,,
10/11/2023,92,88.1251,,
10/12/2023,92.42,88.4004,,
10/13/2023,90.46,88.6757,,
10/16/2023,91.22,89.5016,,
10/17/2023,91,89.7769,,
10/18/2023,89.6,90.0522,,
10/19/2023,92.91,90.3275,,
10/20/2023,91.31,90.6028,,
10/23/2023,91.11,91.4287,,
10/24/2023,91.64,91.704,,
10/25/2023,87.64,91.9793,,
10/26/2023,87.45,92.2546,,
10/27/2023,85.99,92.5299,,
10/30/2023,86.06,93.3559,,
10/31/2023,86.31,93.6312,,
11/1/2023,87.8,93.9065,,
11/2/2023,90.48,94.1818,,
11/3/2023,91.79,94.4571,,
11/6/2023,92.6,95.283,,
11/7/2023,92.41,95.5583,,
11/8/2023,92,95.8336,,
11/9/2023,91.62,96.1089,,
11/10/2023,97.44,96.3842,,
11/13/2023,96.42,97.2101,,
11/14/2023,98.91,97.4854,,
11/15/2023,98.8,97.7607,,
11/16/2023,98.54,98.036,,
11/17/2023,99.58,98.3113,,
11/20/2023,99.96,99.1372,,
11/21/2023,98.41,99.4125,,
11/22/2023,98.65,99.6878,,
11/24/2023,97.83,100.238,,
11/27/2023,97.21,101.064,,
11/28/2023,97.98,101.34,,
11/29/2023,98.88,101.615,,
11/30/2023,97.31,101.89,,
12/1/2023,98.55,102.166,,
12/4/2023,97.01,102.991,,
12/5/2023,96.69,103.267,,
12/6/2023,97.85,103.542,,
12/7/2023,99.29,103.817,,
12/8/2023,100.35,104.093,,
12/11/2023,100.95,104.919,,
12/12/2023,101.6,105.194,,
12/13/2023,102.12,105.469,,
12/14/2023,103.45,105.744,,
12/15/2023,102.54,106.02,,
12/18/2023,102.93,106.846,,
12/19/2023,103.87,107.121,,
12/20/2023,100.04,107.396,,
12/21/2023,102.55,107.672,,
12/22/2023,103.15,107.947,,
12/26/2023,104.45,109.048,,
12/27/2023,104.65,109.323,,
12/28/2023,104.7,109.599,,
12/29/2023,104,109.874,,
1/2/2024,101.53,110.975,,
1/3/2024,100.17,111.251,,
1/4/2024,99.13,111.526,,
1/5/2024,99.61,111.801,,
1/8/2024,102.24,112.627,,
1/9/2024,101.89,112.902,,
1/10/2024,100.8,113.178,,
1/11/2024,101.22,113.453,,
1/12/2024,101.24,113.728,,
1/16/2024,101.67,114.829,,
1/17/2024,102.95,115.105,,
1/18/2024,113.03,115.38,,
1/19/2024,114.2,115.655,,
1/22/2024,113.03,116.481,,
1/23/2024,114.13,116.757,,
1/24/2024,116.52,117.032,,
1/25/2024,116.56,117.307,,
1/26/2024,117.26,117.583,,
1/29/2024,116.98,118.408,,
1/30/2024,116.06,118.684,,
1/31/2024,112.96,118.959,,
2/1/2024,113.39,119.234,,
2/2/2024,115.75,119.51,,
2/5/2024,118.79,120.336,,
2/6/2024,119.38,120.611,,
2/7/2024,124.98,120.886,,
2/8/2024,133.73,121.161,,
2/9/2024,133.11,121.437,,
2/12/2024,130.46,122.263,,
2/13/2024,127.55,122.538,,
2/14/2024,129.27,122.813,,
2/15/2024,129.03,123.089,,
2/16/2024,126.69,123.364,,
2/20/2024,125.33,124.465,,
2/21/2024,125.34,124.74,,
2/22/2024,129.07,125.016,,
2/23/2024,129.53,125.291,,
2/26/2024,130.64,126.117,,
2/27/2024,128.59,126.392,,
2/28/2024,127.38,126.668,,
2/29/2024,128.67,126.943,,
3/1/2024,133.9,127.218,,
3/4/2024,138.26,128.044,,
3/5/2024,134.97,128.319,,
3/6/2024,141.57,128.595,,
3/7/2024,149.2,128.87,,
3/8/2024,146.37,129.145,,
3/11/2024,139.02,129.971,,
3/12/2024,144.4,130.246,,
3/13/2024,142.14,130.522,,
3/14/2024,139.62,130.797,,
3/15/2024,136.98,131.072,,
3/18/2024,136.64,131.898,,
3/19/2024,134.87,132.174,,
3/20/2024,136.75,132.449,,
3/21/2024,139.45,132.724,,
3/22/2024,140.54,132.999,,
3/25/2024,140.23,133.825,,
3/26/2024,138.84,134.101,,
3/27/2024,136.69,134.376,,
3/28/2024,136.05,134.651,,
4/1/2024,141.49,135.753,,
4/2/2024,140.22,136.028,,
4/3/2024,142,136.303,,
4/4/2024,139.66,136.578,,
4/5/2024,141.36,136.854,,
4/8/2024,142.79,137.68,,
4/9/2024,145.4,137.955,,
4/10/2024,146.22,138.23,,
4/11/2024,147.2,138.506,,
4/12/2024,142.52,138.781,,
4/15/2024,140.14,139.607,,
4/16/2024,139.8,139.882,,
4/17/2024,139.03,140.157,,
4/18/2024,132.27,140.433,,
4/19/2024,127.7,140.708,,
4/22/2024,129.75,141.534,,
4/23/2024,133.43,141.809,,
4/24/2024,132.97,142.084,,
4/25/2024,136.58,142.36,,
4/26/2024,138.3,142.635,,
4/29/2024,138.5,143.461,,
4/30/2024,137.34,143.736,,
5/1/2024,134.94,144.012,,
5/2/2024,136.23,144.287,,
5/3/2024,141.56,144.562,,
5/6/2024,142.83,145.388,,
5/7/2024,141.11,145.663,,
5/8/2024,143.6,145.939,,
5/9/2024,142.79,146.214,,
5/10/2024,149.26,146.489,,
5/13/2024,146.41,147.315,,
5/14/2024,151.95,147.591,,
5/15/2024,155.58,147.866,,
5/16/2024,152.23,148.141,,
5/17/2024,151.68,148.416,,
5/20/2024,153.55,149.242,,
5/21/2024,153.67,149.518,,
5/22/2024,156.15,149.793,,
5/23/2024,157.09,150.068,,
5/24/2024,160,150.344,,
5/28/2024,159.41,151.445,,
5/29/2024,154.34,151.72,,
5/30/2024,152.96,151.995,,
5/31/2024,151.04,152.271,,
6/3/2024,154.95,153.097,,
6/4/2024,152.47,153.372,,
6/5/2024,162.92,153.647,,
6/6/2024,162.07,153.923,,
6/7/2024,164.39,154.198,,
6/10/2024,168.16,155.024,,
6/11/2024,165.71,155.299,,
6/12/2024,172.98,155.574,,
6/13/2024,172.91,155.85,,
6/14/2024,172.51,156.125,,
6/17/2024,177.24,156.951,,
6/18/2024,179.69,157.226,,
6/20/2024,175.38,157.777,,
6/21/2024,173.96,158.052,,
6/24/2024,167.81,158.878,,
6/25/2024,172.6,159.153,,
6/26/2024,172.07,159.429,,
6/27/2024,171.63,159.704,,
6/28/2024,173.81,159.979,,
7/1/2024,172.33,160.805,,
7/2/2024,175.7,161.08,,
7/3/2024,182.49,161.356,,
7/5/2024,183.99,161.906,,
7/8/2024,186.63,162.732,,
7/9/2024,184.52,163.008,,
7/10/2024,191.05,163.283,,
7/11/2024,184.5,163.558,,
7/12/2024,187.35,163.833,,
7/15/2024,185.22,164.659,,
7/16/2024,186.04,164.935,,
7/17/2024,171.2,165.21,,
7/18/2024,171.87,165.485,,
7/19/2024,165.77,165.761,,
7/22/2024,169.35,166.586,,
7/23/2024,169.82,166.862,,
7/24/2024,159.8,167.137,,
7/25/2024,160.28,167.412,,
7/26/2024,161.94,167.688,,
7/29/2024,160.01,168.514,,
7/30/2024,154.54,168.789,,
7/31/2024,165.8,169.064,,
8/1/2024,158.18,169.339,,
8/2/2024,149.86,169.615,,
8/5/2024,147.95,170.441,,
8/6/2024,155.39,170.716,,
8/7/2024,155.04,170.991,,
8/8/2024,164.55,171.267,,
8/9/2024,167.12,171.542,,
8/12/2024,167.63,172.368,,
8/13/2024,172.34,172.643,,
8/14/2024,169.97,172.918,,
8/15/2024,173.96,173.194,,
8/16/2024,174.54,173.469,,
8/19/2024,175.45,174.295,,
8/20/2024,172.04,174.57,,
8/21/2024,171.44,174.846,,
8/22/2024,166.44,175.121,,
8/23/2024,171.28,175.396,,
8/26/2024,169.07,176.222,,
8/27/2024,170.55,176.497,,
8/28/2024,169.2,176.773,,
8/29/2024,169.15,177.048,,
8/30/2024,171.7,177.323,,
9/3/2024,160.49,178.424,,
9/4/2024,160.87,178.7,,
9/5/2024,163.7,178.975,,
9/6/2024,156.82,179.25,,
9/9/2024,162.78,180.076,,
9/10/2024,162.43,180.352,,
9/11/2024,170.23,180.627,,
9/12/2024,171.43,180.902,,
9/13/2024,172.5,181.178,,
9/16/2024,169.08,182.003,,
9/17/2024,167.35,182.279,,
9/18/2024,167.28,182.554,,
9/19/2024,176.22,182.829,,
9/20/2024,174.08,183.105,,
9/23/2024,174.76,183.931,,
9/24/2024,181.97,184.206,,
9/25/2024,182.35,184.481,,
9/26/2024,186.83,184.756,,
9/27/2024,177.97,185.032,,
9/30/2024,173.67,185.858,,
10/1/2024,172.07,186.133,172.07,
10/1/2024,,186.132,176.053,
10/3/2024,,186.531,172.4,
10/4/2024,,186.93,177.466,
10/6/2024,,187.329,173.813,
10/7/2024,,187.727,179.573,
10/8/2024,,188.126,177.71,
10/10/2024,,188.525,180.538,
10/11/2024,,188.924,183.644,
10/13/2024,,189.322,185.376,
10/14/2024,,189.721,186.702,
10/16/2024,,190.12,187.67,
10/17/2024,,190.519,188.663,
10/19/2024,,190.917,188.074,
10/20/2024,,191.316,188.639,
10/21/2024,,191.715,189.711,
10/23/2024,,192.114,188.926,
10/24/2024,,192.512,187.91,
10/26/2024,,192.911,189.654,
10/27/2024,,193.31,190.769,
10/29/2024,,193.709,189.872,
10/30/2024,,194.107,191.441,
11/1/2024,,194.506,192.643,
11/2/2024,,194.905,191.805,
11/3/2024,,195.304,193.101,
11/5/2024,,195.702,194.065,
11/6/2024,,196.101,193.266,
11/8/2024,,196.5,194.323,
11/9/2024,,196.899,195.277,
11/11/2024,,197.297,194.485,
11/12/2024,,197.696,195.464,
11/14/2024,,198.095,194.776,
11/15/2024,,198.494,193.643,
11/16/2024,,198.892,195.244,
11/18/2024,,199.291,193.745,
11/19/2024,,199.69,191.413,
11/21/2024,,200.089,194.06,
11/22/2024,,200.487,196.301,
11/24/2024,,200.886,194.502,
11/25/2024,,201.285,196.276,
11/27/2024,,201.684,194.272,
11/28/2024,,202.082,195.974,
11/30/2024,,202.481,193.706,
12/1/2024,,202.88,190.707,
12/2/2024,,203.279,193.72,
12/4/2024,,203.677,190.683,
12/5/2024,,204.076,188.056,
12/7/2024,,204.475,183.048,
12/8/2024,,204.874,176.39,
12/10/2024,,205.272,166.95,
12/11/2024,,205.671,178.762,
12/13/2024,,206.07,171.621,
12/14/2024,,206.469,186.048,
12/15/2024,,206.867,191.946,
12/17/2024,,207.266,195.951,
12/18/2024,,207.665,199.525,
12/20/2024,,208.064,196.92,
12/21/2024,,208.462,193.399,
12/23/2024,,208.861,188.345,
12/24/2024,,209.26,195.637,
12/26/2024,,209.659,201.442,
12/27/2024,,210.057,204.445,
12/28/2024,,210.456,205.886,
12/30/2024,,210.855,207.727,
12/31/2024,,211.254,208.802,
1/2/2025,,211.652,209.486,
1/3/2025,,212.051,210.38,
1/5/2025,,212.45,209.794,
1/6/2025,,212.849,208.595,
1/8/2025,,213.247,206.872,
1/9/2025,,213.646,204.068,
1/11/2025,,214.045,201.459,
1/12/2025,,214.444,195.235,
1/13/2025,,214.842,200.789,
1/15/2025,,215.241,196.381,
1/16/2025,,215.64,202.675,
1/18/2025,,216.039,198.308,
1/19/2025,,216.437,204.233,
1/21/2025,,216.836,200.114,
1/22/2025,,217.235,195.264,
1/24/2025,,217.634,205.013,
1/25/2025,,218.032,209.552,
1/26/2025,,218.431,206.843,
1/28/2025,,218.83,210.238,
1/29/2025,,219.229,206.908,
1/31/2025,,219.627,211.897,
2/1/2025,,220.026,214.377,
2/3/2025,,220.425,212.005,
2/4/2025,,220.824,208.738,
2/6/2025,,221.222,203.569,
2/7/2025,,221.621,197.276,
2/8/2025,,222.02,204.824,
2/10/2025,,222.418,209.808,
2/11/2025,,222.817,213.493,
2/13/2025,,223.216,216.035,
2/14/2025,,223.615,213.558,
2/16/2025,,224.013,210.824,
2/17/2025,,224.412,214.969,
2/19/2025,,224.811,211.753,
2/20/2025,,225.21,215.565,
